#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,btrfs-progs,"provides btrfs filesystem utilities."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,libertinus-font,"provides the sans and serif fonts for LARBS."
,ranger,"is an simple, vim-like file manager."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/borsched/slstatus.git,"serves as the modular status bar."
G,https://github.com/borsched/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/borsched/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,xorg-xrandr,"is a tool to set the size, orientation, or reflection of the outputs for a screen."
,arandr,"is a visual front end for XRandR."
,alacritty,"is a cross-platform, GPU-accelerated terminal emulator."
A,clipit,"is a lightweight GTK+ clipboard manager."
,cronie,"is a daemon that runs specified programs at scheduled times."
,feh,"is a fast and light imlib2-based image viewer."
A,nerd-fonts-hack,"is a font that includes icons for slstatus."
,audacity,"is a digital audio manipulator."
A,discord_arch_electron,"is a proprietary, cross-platform, all-in-one voice and text chat application."
,neofetch,"is a fast, highly customizable system info script."
,nvidia,"provides NVIDIA drivers for linux."
,ntfs-3g,"provides NTFS filesystem driver and utilities."
,obs-studio,"is free, open source software for live streaming and recording."
,rsync,"a fast and versatile file copying tool for remote and local files."
,pavucontrol,"is a simple GTK volume control tool ('mixer') for PulseAudio."
A,vscodium-bin,"provides free/libre open source software binaries of VS Code."
,gparted,"is a frontend to GNU Parted."
,xournalpp,"is handwriting notetaking software with PDF annotation support."
,zip,"is a compressor/archiver for creating and modifying .zip files."
,texlive-core,"is a TeX Live core distribution."
,libreoffice-fresh,"is a free and powerful office suite."
,xorg-xinput,"is a small commandline tool to configure devices."
,adobe-source-han-sans-cn-fonts,"provides simplified Chinese OpenType/CFF fonts."
,adobe-source-han-sans-tw-fonts,"provides traditional Chinese (Taiwan) OpenType/CFF fonts."
,adobe-source-han-sans-jp-fonts,"provides Japanese OpenType/CFF fonts."
,adobe-source-han-sans-kr-fonts,"provides Korean OpenType/CFF fonts."
A,zoom,"is a video conferencing and web conferencing service."
,zsh-autosuggestions,"provides fish-like autosuggestions for zsh."
,wmname,"is a utility to set the name of your window manager."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
